Sat1.X                    Sat1.Y                    Sat1.Z                    Sat1.ElapsedDays          Sat1.RAAN                 Sat1.Earth.RMAG           
1049.87                   -485.293                  7332.41                   0.0931207                 98.6147                   7423.07                   
1150.16                   -1238.43                  7228.63                   0.0943334                 98.6165                   7423.59                   
1238.21                   -1978.4                   7047.76                   0.0955462                 98.6181                   7424.16                   
1313.09                   -2697.29                  6791.73                   0.0967588                 98.6197                   7424.77                   
1373.99                   -3387.38                  6463.31                   0.0979714                 98.6212                   7425.4                    
1420.26                   -4041.29                  6066.04                   0.0991836                 98.6225                   7426.04                   
1451.41                   -4652.06                  5604.21                   0.100396                  98.6236                   7426.67                   
1467.12                   -5213.17                  5082.81                   0.101607                  98.6246                   7427.28                   
1467.23                   -5718.69                  4507.42                   0.102818                  98.6254                   7427.86                   
1451.75                   -6163.27                  3884.24                   0.104029                  98.626                    7428.38                   
1432.44                   -6428.01                  3437.19                   0.104851                  98.6263                   7428.7                    
1418.46                   -6563.32                  3177.85                   0.105314                  98.6264                   7428.86                   
1402.18                   -6689.13                  2911.97                   0.105779                  98.6265                   7429.01                   
1370.56                   -6873.33                  2464.21                   0.106546                  98.6267                   7429.23                   
1312.3                    -7094.15                  1774.34                   0.107695                  98.6269                   7429.5                    
1237.87                   -7252.47                  1034.15                   0.108898                  98.6269                   7429.67                   
1149.99                   -7334.89                  279.439                   0.110106                  98.6269                   7429.75                   
1049.88                   -7339.58                  -478.589                  0.111315                  98.6269                   7429.72                   
938.637                   -7266.43                  -1231.56                  0.112524                  98.627                    7429.59                   
817.431                   -7116.2                   -1971.46                  0.113733                  98.627                    7429.35                   
687.542                   -6890.49                  -2690.49                  0.114942                  98.6272                   7429.01                   
550.337                   -6591.64                  -3381.04                  0.116151                  98.6275                   7428.59                   
407.262                   -6222.79                  -4035.8                   0.117361                  98.628                    7428.1                    
259.826                   -5787.81                  -4647.81                  0.118571                  98.6286                   7427.54                   
109.584                   -5291.25                  -5210.57                  0.119781                  98.6294                   7426.94                   
-41.8705                  -4738.35                  -5718.07                  0.120992                  98.6304                   7426.3                    
-192.931                  -4134.93                  -6164.86                  0.122203                  98.6315                   7425.66                   
-341.989                  -3487.39                  -6546.13                  0.123414                  98.6329                   7425.01                   
-487.456                  -2802.59                  -6857.78                  0.124626                  98.6343                   7424.38                   
-627.776                  -2087.83                  -7096.43                  0.125839                  98.6359                   7423.77                   
-761.448                  -1350.71                  -7259.47                  0.127051                  98.6376                   7423.21                   
-836.934                  -906.563                  -7319.65                  0.12777                   98.6387                   7422.91                   
-885.295                  -609.986                  -7344.44                  0.128246                  98.6394                   7422.72                   
-933.274                  -305.471                  -7357.28                  0.128734                  98.6401                   7422.53                   
-1008.89                  197.918                   -7350.69                  0.129539                  98.6413                   7422.24                   
-1109.37                  920.447                   -7280.55                  0.130698                  98.6429                   7421.88                   
-1202.47                  1662.83                   -7132.23                  0.131903                  98.6447                   7421.57                   
-1283.26                  2391                      -6907.42                  0.133115                  98.6463                   7421.33                   
-1350.41                  3093.91                   -6608.9                   0.134327                  98.6479                   7421.15                   
-1403.17                  3763.7                    -6239.98                  0.135538                  98.6492                   7421.03                   
-1440.99                  4393.19                   -5804.67                  0.136749                  98.6505                   7420.97                   
-1463.47                  4975.67                   -5307.67                  0.13796                   98.6515                   7420.95                   
-1470.37                  5504.98                   -4754.35                  0.13917                   98.6524                   7420.96                   
